ID::ID!!I,Index::Index!!I,Area::Area!!R,ImageDocumentName::Image Name,IntensityMean_Ch1-T1::Intensity Mean Value of channel 'Ch1-T1'!!R,IntensityMean_Ch1-T2::Intensity Mean Value of channel 'Ch1-T2'!!R,IntensityMean_Ch2-T2::Intensity Mean Value of channel 'Ch2-T2'!!R,IntensitySum0_Ch2-T2::Pixel Count of channel 'Ch2-T2'!!R
,,nm²,,Gray,Gray,Gray,pixel²
2,1,301897299.64095,"cell_63-Create Image Subset.czi",9302.006634841,105.45748037867,2089.9415001214,12359
3,2,35834884.583969,"cell_63-Create Image Subset.czi",6972.3837764145,37.500340831629,1953.3408316292,1467
2,1,19908269.213316,"cell_64-Create Image Subset.czi",5136.5914110429,306.65644171779,1332.5337423313,815
3,2,512387552.16996,"cell_64-Create Image Subset.czi",7696.5989702517,29.474542334096,2080.6453089245,20976
2,1,277885239.96403,"cell_65-Create Image Subset.czi",7674.8600562588,662.20833333333,2244.1816983122,11376
2,1,38375326.299533,"cell_66-Create Image Subset.czi",6549.2928071292,5.049013367282,1290.3004455761,1571
3,2,467123720.44938,"cell_66-Create Image Subset.czi",8445.0826753125,175.16189928359,2114.7705380955,19123
2,1,53617976.592919,"cell_67-Create Image Subset.czi",5265.0455580866,59.08291571754,1314.9466970387,2195
3,2,275882199.3806,"cell_67-Create Image Subset.czi",9242.1211262617,42.556047458828,2040.7472109085,11294
2,1,25379989.831455,"cell_68-Create Image Subset.czi",6694.5803657363,14.684311838306,1338.9653512993,1039
3,2,537083576.92415,"cell_68-Create Image Subset.czi",7888.2064856506,9.5357256560695,1920.0121435394,21987
4,3,40744776.745781,"cell_68-Create Image Subset.czi",6061.1738609113,695.30395683453,1518.0611510791,1668
2,1,648594311.84291,"cell_69-Create Image Subset.czi",9300.596904188,620.52963995179,2311.2818996686,26552
3,2,25331135.183078,"cell_69-Create Image Subset.czi",7239.7994214079,7.2430086788814,1337.4734811958,1037
2,1,42601253.384078,"cell_70-Create Image Subset.czi",8227.4455275229,84.158830275229,1919.3027522936,1744
3,2,639556201.8933,"cell_70-Create Image Subset.czi",8626.8421816515,37.799556947521,2158.2578489038,26182
2,1,211736046.06261,"cell_71-Create Image Subset.czi",6265.9793493309,190.07395016151,2011.4713890171,8668
3,2,17831946.657326,"cell_71-Create Image Subset.czi",5731.3547945206,101.60547945206,1629.7753424658,730
2,1,456229133.86148,"cell_72-Create Image Subset.czi",7684.3198586497,265.27777480323,2102.3431493281,18677
2,1,388638727.83296,"cell_73-Create Image Subset.czi",9785.7840980515,778.42231301069,5633.9362036455,15910
2,1,179907242.64549,"cell_74-Create Image Subset.czi",5892.416293279,1189.6712830957,5225.1560081466,7365
2,1,277885239.96403,"cell_75-Create Image Subset.czi",6101.5878164557,5006.2383087201,4238.1119022504,11376
2,1,162905825.01056,"cell_76-Create Image Subset.czi",7468.6924576398,970.55030739241,5197.4942270205,6669
2,1,32390631.873444,"cell_77-Create Image Subset.czi",7221.4351432881,1017.0708898944,7869.2171945701,1326
3,2,33001314.978147,"cell_77-Create Image Subset.czi",6470.8504811251,39.624722427831,9557.2783123612,1351
2,1,191192666.4204,"cell_78-Create Image Subset.czi",6139.3839274307,323.89229589881,7357.5065797879,7827
2,1,23254812.627088,"cell_79-Create Image Subset.czi",5752.1481092437,796.04831932773,4769.3844537815,952
3,2,75504859.065473,"cell_79-Create Image Subset.czi",7075.2106114526,240.91459074733,8953.8916208347,3091
