TDP43_Ratio_N/C,Category
2.698515871809231,tTA
3.417394602720705,tTA
3.7422879093558934,tTA
2.9789593097165485,tTA
4.067959079793878,tTA
3.2878581042102244,tTA
0.6642477645649836,Bigenic
0.6733831339026866,Bigenic
0.6243993639481695,Bigenic
1.2330997620984994,Bigenic
0.840379279293793,Bigenic
0.9605741116805185,Bigenic
0.8556241066456026,Bigenic
0.7965884546224656,Bigenic
0.8520368087374677,Bigenic
1.9429153486681268,tTA
1.7547758897734982,tTA
2.1084916632504953,tTA
2.1552988509948094,tTA
1.9581258636428642,tTA
1.8208870578551408,tTA
2.1175997564519644,tTA
1.8866118306963398,tTA
2.193639595676515,tTA
2.8503673054650074,tTA
2.5995772624455933,tTA
2.4295639674428062,tTA
2.000616622673483,tTA
2.3477247867687225,tTA
1.958414198466772,tTA
0.7810354318202671,Bigenic
0.783563418892646,Bigenic
0.7460554667879291,Bigenic
0.7802151175540892,Bigenic
0.7007098933553433,Bigenic
0.7395193574806905,Bigenic
0.9130866292775826,Bigenic
